Date,Time,Focus,Emotion,Head,Hand
2022-11-08,11:29:07:395,1,0,1,
2022-11-08,11:29:07:476,1,0,1,
2022-11-08,11:29:07:542,1,0,1,
2022-11-08,11:29:07:611,1,0,1,
2022-11-08,11:29:07:696,1,0,1,
2022-11-08,11:29:07:762,1,0,1,
2022-11-08,11:29:07:827,1,0,1,
2022-11-08,11:29:07:896,1,0,1,
2022-11-08,11:29:07:964,1,0,1,
2022-11-08,11:29:08:029,1,0,1,
2022-11-08,11:29:08:096,1,0,1,
2022-11-08,11:29:08:179,1,0,1,
2022-11-08,11:29:08:262,1,0,1,
2022-11-08,11:29:08:328,1,0,1,
2022-11-08,11:29:08:397,1,0,1,
2022-11-08,11:29:08:463,1,0,1,
